City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Uyuni,BO,-20.4597,-66.825,46.2,7,0,9.48,clear sky
292,Tikrit,IQ,34.6071,43.6782,100.2,14,0,12.66,clear sky
293,Bama,NG,11.5221,13.6856,72.54,89,100,6.8,overcast clouds
294,Boralday,KZ,43.3578,76.8594,64.26,29,20,4.47,few clouds
295,Dalvik,IS,65.9702,-18.5286,57.13,66,90,3.13,overcast clouds
296,Kainantu,PG,-6.2887,145.8655,59.61,98,98,1.32,overcast clouds
297,Aswan,EG,24.0934,32.907,106.9,12,0,10.36,clear sky
298,Metro,ID,-5.1131,105.3067,74.01,90,19,2.82,few clouds
299,Pisco,PE,-13.7,-76.2167,64.45,72,75,2.3,broken clouds
300,Vardo,NO,70.3705,31.1107,51.78,82,100,2.3,overcast clouds
301,Iwanai,JP,42.9744,140.5089,61.63,94,40,2.89,scattered clouds
302,Neuquen,AR,-38.9516,-68.0591,49.89,43,0,12.66,clear sky
303,Forestville,US,38.8451,-76.875,83.79,53,0,1.99,clear sky
304,Taoudenni,ML,22.6783,-3.9836,108.84,17,13,7.81,few clouds
305,Eston,CA,51.1501,-108.7514,75.92,40,2,2.71,clear sky
306,San Juan De Uraba,CO,8.7592,-76.5297,87.19,65,53,5.61,broken clouds
307,Dengzhou,CN,37.8086,120.7508,77.56,78,100,14.58,overcast clouds
308,Donghai,CN,22.9459,115.642,80.87,84,64,3.13,broken clouds
309,Lusambo,CD,-4.9667,23.45,78.48,58,38,3.42,scattered clouds
310,Hamilton,US,39.1834,-84.5333,82.6,55,25,3.0,scattered clouds
311,Harper,LR,4.375,-7.7169,77.63,67,62,8.28,broken clouds
312,Casas Grandes,MX,30.3667,-107.95,72.45,75,98,5.66,overcast clouds
313,Slavsk,RU,55.0425,21.677,79.39,62,100,6.26,overcast clouds
314,Tawang,IN,27.5833,91.8667,57.34,96,99,2.89,overcast clouds
315,Ostrovnoy,RU,68.0531,39.5131,51.66,90,100,12.21,overcast clouds
316,Meiktila,MM,20.8667,95.8667,75.97,84,54,14.23,broken clouds
317,Egvekinot,RU,66.3167,-179.1667,35.6,76,19,8.21,few clouds
318,Batemans Bay,AU,-35.7167,150.1833,54.1,72,60,6.8,broken clouds
319,Nampa,US,43.5407,-116.5635,88.84,31,97,3.0,overcast clouds
320,Strezhevoy,RU,60.7333,77.5889,53.55,67,75,9.69,broken clouds
321,Beyneu,KZ,45.3167,55.2,84.34,19,0,10.85,clear sky
322,Adygeysk,RU,44.88,39.19,82.76,74,20,0.0,few clouds
323,Narsaq,GL,60.9167,-46.05,50.31,45,0,5.01,clear sky
324,Banjar,ID,-8.19,114.9675,75.6,88,46,5.26,scattered clouds
325,Sohbatpur,PK,28.5202,68.5434,80.37,86,100,9.31,overcast clouds
326,Viedma,AR,-40.8135,-62.9967,54.07,24,0,15.73,clear sky
327,Broome,US,42.2506,-75.833,78.01,73,40,5.99,scattered clouds
328,Nouadhibou,MR,20.931,-17.0347,78.78,65,6,19.57,clear sky
329,Chengde,CN,40.9725,117.9361,71.2,97,100,1.39,overcast clouds
330,Ucluelet,CA,48.9329,-125.5528,71.91,83,19,4.36,few clouds
331,Dunkwa,GH,5.9656,-1.78,87.85,45,62,3.06,broken clouds
332,Mocorito,MX,25.4833,-107.9167,83.21,93,100,3.02,overcast clouds
333,Kijang,KR,35.2442,129.2139,74.93,88,82,5.19,broken clouds
334,Ust-Nera,RU,64.5667,143.2,51.8,87,98,4.41,overcast clouds
335,Porto Walter,BR,-8.2686,-72.7439,94.68,38,5,5.61,clear sky
336,San Juan,AR,-31.5375,-68.5364,55.94,20,0,6.13,clear sky
337,Nantucket,US,41.2835,-70.0995,74.01,59,3,19.69,clear sky
338,Banda Aceh,ID,5.5577,95.3222,79.88,81,31,7.52,scattered clouds
339,Basco,PH,20.4487,121.9702,82.89,76,96,15.52,overcast clouds
340,Smila,UA,49.2224,31.8871,76.39,51,81,5.35,broken clouds
341,Kuji,JP,40.1878,141.7689,64.65,94,98,9.22,overcast clouds
342,Wewak,PG,-3.5534,143.6268,77.31,86,80,4.03,broken clouds
343,Dwarka,IN,22.2394,68.9678,80.96,88,100,14.83,overcast clouds
344,Kouango,CF,4.9934,19.9619,72.54,89,89,3.69,overcast clouds
345,Port-Cartier,CA,50.0334,-66.8654,62.82,93,100,15.68,overcast clouds
